id,price_usd,price_decile
44505327,107.0,3
44561631,62.0,0
44577918,88.0,2
44632019,154.0,5
44665751,103.0,3
44678181,38.0,0
44995087,98.0,2
45023214,139.0,5
45063891,140.0,5
45070056,287.0,8
45213684,163.0,6
45266904,245.0,7
45285765,128.0,4
45349080,64.0,0
45351656,75.0,1
45363719,316.0,8
45402516,201.0,7
45492496,107.0,3
45531550,134.0,5
45532786,152.0,5
45533156,329.0,8
45591120,70.0,0
45603008,201.0,7
45619526,85.0,1
45621623,150.0,5
45655928,50.0,0
45717828,40.0,0
45734694,260.0,8
45740790,124.0,4
45765329,116.0,4
45784291,130.0,4
45813359,141.0,5
45829371,125.0,4
45848676,99.0,2
45880069,153.0,5
45892156,241.0,7
45893285,29.0,0
45937183,210.0,7
45970476,171.0,6
45988503,104.0,3
45996344,73.0,1
46005799,210.0,7
46053732,115.0,4
46055359,147.0,5
46154927,95.0,2
46196757,80.0,1
46234222,92.0,2
46260287,115.0,4
46277556,139.0,5
46447086,79.0,1
46449865,120.0,4
46533293,332.0,8
46562220,123.0,4
46579429,160.0,6
46584746,122.0,4
46655499,168.0,6
46655501,263.0,8
46655502,365.0,9
46709631,363.0,9
46711740,349.0,9
46837010,56.0,0
46865926,79.0,1
46891798,99.0,2
46894086,280.0,8
46901035,141.0,5
46943925,207.0,7
46943928,141.0,5
47023950,58.0,0
47028331,146.0,5
47029478,350.0,9
47034316,112.0,3
47058648,249.0,8
47069470,250.0,8
47069955,90.0,2
47076617,174.0,6
47096192,250.0,8
47178939,350.0,9
47288351,195.0,7
47330330,83.0,1
47331141,125.0,4
47332524,107.0,3
47405082,99.0,2
47461928,276.0,8
47714591,80.0,1
47732580,148.0,5
47785836,100.0,3
47788298,657.0,9
47810721,62.0,0
47834023,105.0,3
47843399,250.0,8
47845490,391.0,9
47871995,350.0,9
47872540,83.0,1
47883934,92.0,2
47944926,352.0,9
47952458,128.0,4
47963232,278.0,8
47963676,95.0,2
48015175,130.0,4
48017079,210.0,7
48018838,336.0,8
48028960,219.0,7
48053587,177.0,6
48100107,107.0,3
48105328,260.0,8
48122568,90.0,2
48133895,110.0,3
48167244,48.0,0
48182872,6000.0,9
48225674,345.0,8
48254135,124.0,4
48264488,130.0,4
48281109,349.0,9
48349613,130.0,4
48355314,102.0,3
48366092,168.0,6
48398336,91.0,2
48400501,252.0,8
48413314,1650.0,9
48422819,130.0,4
48465967,84.0,1
48472091,98.0,2
48491502,56.0,0
48547583,392.0,9
48547584,176.0,6
48570953,181.0,6
48639348,75.0,1
48657021,167.0,6
48661410,240.0,7
48672074,75.0,1
48672808,722.0,9
48672812,360.0,9
48672814,957.0,9
48699580,79.0,1
48700024,148.0,5
48707829,249.0,8
48731200,300.0,8
48735115,87.0,2
48748360,90.0,2
48764233,92.0,2
48778803,257.0,8
48783147,80.0,1
48819249,140.0,5
48824124,65.0,0
48841953,160.0,6
48887124,326.0,8
48899534,261.0,8
48899543,140.0,5
48899545,402.0,9
48900848,121.0,4
48901952,100.0,3
48903100,175.0,6
48969877,125.0,4
48971919,151.0,5
48972465,150.0,5
48974282,150.0,5
48974582,131.0,4
49037064,296.0,8
49070464,103.0,3
49086595,150.0,5
49093110,149.0,5
49152916,213.0,7
49154831,157.0,6
49155406,296.0,8
49198441,300.0,8
49232318,118.0,4
49243841,84.0,1
49338161,265.0,8
49361421,94.0,2
49401018,220.0,7
49402207,119.0,4
49443439,97.0,2
49463884,278.0,8
49468364,335.0,8
49484290,95.0,2
49503229,125.0,4
49503489,63.0,0
49506016,82.0,1
49516666,575.0,9
49544765,80.0,1
49595881,389.0,9
49630964,176.0,6
49635615,65.0,0
49635989,80.0,1
49640482,392.0,9
49660095,125.0,4
49669522,186.0,6
49674862,185.0,6
49690346,103.0,3
49729529,76.0,1
49753340,215.0,7
49757688,130.0,4
49789328,90.0,2
49790599,80.0,1
49823114,142.0,5
49838245,164.0,6
49862390,155.0,5
49900559,53.0,0
49919136,69.0,0
49987126,200.0,7
49988121,180.0,6
50042645,202.0,7
50052704,136.0,5
50152209,98.0,2
50168861,77.0,1
50179678,144.0,5
50191232,131.0,4
50196441,176.0,6
50232242,292.0,8
50248402,95.0,2
50269559,83.0,1
50289737,389.0,9
50323786,115.0,4
50374934,100.0,3
50378909,99.0,2
50382189,116.0,4
50422282,228.0,7
50431419,77.0,1
50444628,157.0,6
50451684,431.0,9
50454057,189.0,6
50459172,206.0,7
50468375,134.0,5
50487663,330.0,8
50487679,123.0,4
50487811,385.0,9
50587814,319.0,8
50593994,145.0,5
50672066,46.0,0
50704896,115.0,4
50730302,151.0,5
50749508,58.0,0
50775740,150.0,5
50787381,190.0,7
50792341,130.0,4
50792460,65.0,0
50803225,58.0,0
50852923,126.0,4
50897156,248.0,8
50999191,243.0,7
51065737,95.0,2
51070134,161.0,6
51083596,83.0,1
51125182,99.0,2
51125183,99.0,2
51144414,243.0,7
51149286,120.0,4
51213408,306.0,8
51214506,151.0,5
51252799,190.0,7
51309707,113.0,3
51309708,113.0,3
51410351,109.0,3
51469099,423.0,9
51482414,150.0,5
51488337,99.0,2
51517166,144.0,5
51534720,121.0,4
51553495,500.0,9
51559316,150.0,5
51562372,124.0,4
51562902,109.0,3
51562918,140.0,5
51653656,368.0,9
51669500,70.0,0
51691471,197.0,7
51706509,103.0,3
51707443,190.0,7
51713535,79.0,1
51730225,289.0,8
51752014,264.0,8
51771518,168.0,6
51796389,425.0,9
51805099,142.0,5
51875440,419.0,9
51957729,969.0,9
51957993,819.0,9
51968754,55.0,0
52011289,113.0,3
52011291,113.0,3
52056409,95.0,2
52075715,83.0,1
52090223,276.0,8
52091373,336.0,8
52101450,77.0,1
52102809,71.0,1
52124988,94.0,2
52127768,72.0,1
52142496,167.0,6
52143097,257.0,8
52149843,172.0,6
52155553,102.0,3
52155554,130.0,4
52155555,211.0,7
52226257,252.0,8
52232865,149.0,5
52333380,76.0,1
52349393,150.0,5
52353435,99.0,2
52367944,87.0,2
52368270,96.0,2
52370777,120.0,4
52385221,38.0,0
52398541,89.0,2
52407559,160.0,6
52408697,147.0,5
52419566,457.0,9
52422900,75.0,1
52436930,222.0,7
